Year,State,Cantidate,Party,Votes
1976,Alabama,"Carter, Jimmy",democrat,659170
1980,Alabama,"Carter, Jimmy",democrat,636730
1992,Alabama,"Clinton, Bill",democrat,690080
1996,Alabama,"Clinton, Bill",democrat,662165
2016,Alabama,"Clinton, Hillary",democrat,729547
1988,Alabama,"Dukakis, Michael",democrat,549506
2000,Alabama,"Gore, Al",democrat,692611
2004,Alabama,"Kerry, John",democrat,693933
1984,Alabama,"Mondale, Walter",democrat,551899
2008,Alabama,"Obama, Barack H.",democrat,813479
2012,Alabama,"Obama, Barack H.",democrat,795696
1988,Alabama,"Bush, George H.W.",republican,815576
1992,Alabama,"Bush, George H.W.",republican,804283
2000,Alabama,"Bush, George W.",republican,941173
2004,Alabama,"Bush, George W.",republican,1176394
1996,Alabama,"Dole, Robert",republican,769044
1976,Alabama,"Ford, Gerald",republican,504070
2008,Alabama,"McCain, John",republican,1266546
1980,Alabama,"Reagan, Ronald",republican,654192
1984,Alabama,"Reagan, Ronald",republican,872849
2012,Alabama,"Romney, Mitt",republican,1255925
2016,Alabama,"Trump, Donald J.",republican,1318255
1976,Alaska,"Carter, Jimmy",democrat,44058
1980,Alaska,"Carter, Jimmy",democrat,41842
1992,Alaska,"Clinton, Bill",democrat,78294
1996,Alaska,"Clinton, Bill",democrat,80380
2016,Alaska,"Clinton, Hillary",democrat,116454
1988,Alaska,"Dukakis, Michael",democrat,72584
2000,Alaska,"Gore, Al",democrat,79004
2004,Alaska,"Kerry, John",democrat,111025
1984,Alaska,"Mondale, Walter",democrat,62007
2008,Alaska,"Obama, Barack H.",democrat,123594
2012,Alaska,"Obama, Barack H.",democrat,122640
1988,Alaska,"Bush, George H.W.",republican,119251
1992,Alaska,"Bush, George H.W.",republican,102000
2000,Alaska,"Bush, George W.",republican,167398
2004,Alaska,"Bush, George W.",republican,190889
1996,Alaska,"Dole, Robert",republican,122746
1976,Alaska,"Ford, Gerald",republican,71555
2008,Alaska,"McCain, John",republican,193841
1980,Alaska,"Reagan, Ronald",republican,86112
1984,Alaska,"Reagan, Ronald",republican,138377
2012,Alaska,"Romney, Mitt",republican,164676
2016,Alaska,"Trump, Donald J.",republican,163387
1976,Arizona,"Carter, Jimmy",democrat,295602
1980,Arizona,"Carter, Jimmy",democrat,246843
1992,Arizona,"Clinton, Bill",democrat,543050
1996,Arizona,"Clinton, Bill",democrat,653288
2016,Arizona,"Clinton, Hillary",democrat,1161167
1988,Arizona,"Dukakis, Michael",democrat,454029
2000,Arizona,"Gore, Al",democrat,685341
2004,Arizona,"Kerry, John",democrat,893524
1984,Arizona,"Mondale, Walter",democrat,333854
2008,Arizona,"Obama, Barack H.",democrat,1034707
2012,Arizona,"Obama, Barack H.",democrat,1025232
1988,Arizona,"Bush, George H.W.",republican,702541
1992,Arizona,"Bush, George H.W.",republican,572086
2000,Arizona,"Bush, George W.",republican,781652
2004,Arizona,"Bush, George W.",republican,1104294
1996,Arizona,"Dole, Robert",republican,622073
1976,Arizona,"Ford, Gerald",republican,418642
2008,Arizona,"McCain, John",republican,1230111
1980,Arizona,"Reagan, Ronald",republican,529688
1984,Arizona,"Reagan, Ronald",republican,681416
2012,Arizona,"Romney, Mitt",republican,1233654
2016,Arizona,"Trump, Donald J.",republican,1252401
1976,Arkansas,"Carter, Jimmy",democrat,498604
1980,Arkansas,"Carter, Jimmy",democrat,398041
1992,Arkansas,"Clinton, Bill",democrat,505823
1996,Arkansas,"Clinton, Bill",democrat,475171
2016,Arkansas,"Clinton, Hillary",democrat,380494
1988,Arkansas,"Dukakis, Michael",democrat,349237
2000,Arkansas,"Gore, Al",democrat,422768
2004,Arkansas,"Kerry, John",democrat,469953
1984,Arkansas,"Mondale, Walter",democrat,338646
2008,Arkansas,"Obama, Barack H.",democrat,422310
2012,Arkansas,"Obama, Barack H.",democrat,394409
1988,Arkansas,"Bush, George H.W.",republican,466578
1992,Arkansas,"Bush, George H.W.",republican,337324
2000,Arkansas,"Bush, George W.",republican,472940
2004,Arkansas,"Bush, George W.",republican,572898
1996,Arkansas,"Dole, Robert",republican,325416
1976,Arkansas,"Ford, Gerald",republican,267903
2008,Arkansas,"McCain, John",republican,638017
1980,Arkansas,"Reagan, Ronald",republican,403164
1984,Arkansas,"Reagan, Ronald",republican,534774
2012,Arkansas,"Romney, Mitt",republican,647744
2016,Arkansas,"Trump, Donald J.",republican,684872
1976,California,"Carter, Jimmy",democrat,3742284
1980,California,"Carter, Jimmy",democrat,3082943
1992,California,"Clinton, Bill",democrat,5121325
1996,California,"Clinton, Bill",democrat,5119835
2016,California,"Clinton, Hillary",democrat,8753788
1988,California,"Dukakis, Michael",democrat,4702233
2000,California,"Gore, Al",democrat,5861203
2004,California,"Kerry, John",democrat,6745485
1984,California,"Mondale, Walter",democrat,3922519
2008,California,"Obama, Barack H.",democrat,8274473
2012,California,"Obama, Barack H.",democrat,7854285
1988,California,"Bush, George H.W.",republican,5054917
1992,California,"Bush, George H.W.",republican,3630574
2000,California,"Bush, George W.",republican,4567429
2004,California,"Bush, George W.",republican,5509826
1996,California,"Dole, Robert",republican,3828381
1976,California,"Ford, Gerald",republican,3882244
2008,California,"McCain, John",republican,5011781
1980,California,"Reagan, Ronald",republican,4522994
1984,California,"Reagan, Ronald",republican,5467009
2012,California,"Romney, Mitt",republican,4839958
2016,California,"Trump, Donald J.",republican,4483810
1976,Colorado,"Carter, Jimmy",democrat,460801
1980,Colorado,"Carter, Jimmy",democrat,368009
1992,Colorado,"Clinton, Bill",democrat,629681
1996,Colorado,"Clinton, Bill",democrat,671152
2016,Colorado,"Clinton, Hillary",democrat,1338870
1988,Colorado,"Dukakis, Michael",democrat,621453
2000,Colorado,"Gore, Al",democrat,738227
2004,Colorado,"Kerry, John",democrat,1001732
1984,Colorado,"Mondale, Walter",democrat,454975
2008,Colorado,"Obama, Barack H.",democrat,1288576
2012,Colorado,"Obama, Barack H.",democrat,1323101
1988,Colorado,"Bush, George H.W.",republican,728177
1992,Colorado,"Bush, George H.W.",republican,562850
2000,Colorado,"Bush, George W.",republican,883748
2004,Colorado,"Bush, George W.",republican,1101255
1996,Colorado,"Dole, Robert",republican,691848
1976,Colorado,"Ford, Gerald",republican,584278
2008,Colorado,"McCain, John",republican,1073589
1980,Colorado,"Reagan, Ronald",republican,652264
1984,Colorado,"Reagan, Ronald",republican,821817
2012,Colorado,"Romney, Mitt",republican,1185243
2016,Colorado,"Trump, Donald J.",republican,1202484
1976,Connecticut,"Carter, Jimmy",democrat,647895
1980,Connecticut,"Carter, Jimmy",democrat,541732
1992,Connecticut,"Clinton, Bill",democrat,682318
1996,Connecticut,"Clinton, Bill",democrat,735740
2016,Connecticut,"Clinton, Hillary",democrat,897572
1988,Connecticut,"Dukakis, Michael",democrat,676584
2000,Connecticut,"Gore, Al",democrat,816015
2004,Connecticut,"Kerry, John",democrat,857488
1984,Connecticut,"Mondale, Walter",democrat,569597
2008,Connecticut,"Obama, Barack H.",democrat,997772
2012,Connecticut,"Obama, Barack H.",democrat,905083
1988,Connecticut,"Bush, George H.W.",republican,750241
1992,Connecticut,"Bush, George H.W.",republican,578313
2000,Connecticut,"Bush, George W.",republican,561094
2004,Connecticut,"Bush, George W.",republican,693826
1996,Connecticut,"Dole, Robert",republican,483109
1976,Connecticut,"Ford, Gerald",republican,719261
2008,Connecticut,"McCain, John",republican,629428
1980,Connecticut,"Reagan, Ronald",republican,677210
1984,Connecticut,"Reagan, Ronald",republican,890877
2012,Connecticut,"Romney, Mitt",republican,634892
2016,Connecticut,"Trump, Donald J.",republican,673215
1976,Delaware,"Carter, Jimmy",democrat,122461
1980,Delaware,"Carter, Jimmy",democrat,105754
1992,Delaware,"Clinton, Bill",democrat,126054
1996,Delaware,"Clinton, Bill",democrat,140355
2016,Delaware,"Clinton, Hillary",democrat,235603
1988,Delaware,"Dukakis, Michael",democrat,108647
2000,Delaware,"Gore, Al",democrat,180068
2004,Delaware,"Kerry, John",democrat,200152
1984,Delaware,"Mondale, Walter",democrat,101656
2008,Delaware,"Obama, Barack H.",democrat,255459
2012,Delaware,"Obama, Barack H.",democrat,242584
1988,Delaware,"Bush, George H.W.",republican,139639
1992,Delaware,"Bush, George H.W.",republican,102313
2000,Delaware,"Bush, George W.",republican,137288
2004,Delaware,"Bush, George W.",republican,171660
1996,Delaware,"Dole, Robert",republican,99062
1976,Delaware,"Ford, Gerald",republican,109780
2008,Delaware,"McCain, John",republican,152374
1980,Delaware,"Reagan, Ronald",republican,111252
1984,Delaware,"Reagan, Ronald",republican,152190
2012,Delaware,"Romney, Mitt",republican,165484
2016,Delaware,"Trump, Donald J.",republican,185127
1976,Florida,"Carter, Jimmy",democrat,1636000
1980,Florida,"Carter, Jimmy",democrat,1419475
1992,Florida,"Clinton, Bill",democrat,2071698
1996,Florida,"Clinton, Bill",democrat,2546870
2016,Florida,"Clinton, Hillary",democrat,4504975
1988,Florida,"Dukakis, Michael",democrat,1656701
2000,Florida,"Gore, Al",democrat,2912253
2004,Florida,"Kerry, John",democrat,3583544
1984,Florida,"Mondale, Walter",democrat,1448816
2008,Florida,"Obama, Barack H.",democrat,4282074
2012,Florida,"Obama, Barack H.",democrat,4237756
1988,Florida,"Bush, George H.W.",republican,2618885
1992,Florida,"Bush, George H.W.",republican,2173310
2000,Florida,"Bush, George W.",republican,2912790
2004,Florida,"Bush, George W.",republican,3964522
1996,Florida,"Dole, Robert",republican,2244536
1976,Florida,"Ford, Gerald",republican,1469531
2008,Florida,"McCain, John",republican,4045624
1980,Florida,"Reagan, Ronald",republican,2046951
1984,Florida,"Reagan, Ronald",republican,2730350
2012,Florida,"Romney, Mitt",republican,4163447
2016,Florida,"Trump, Donald J.",republican,4617886
1976,Georgia,"Carter, Jimmy",democrat,979409
1980,Georgia,"Carter, Jimmy",democrat,890955
1992,Georgia,"Clinton, Bill",democrat,1008966
1996,Georgia,"Clinton, Bill",democrat,1053849
2016,Georgia,"Clinton, Hillary",democrat,1877963
1988,Georgia,"Dukakis, Michael",democrat,714792
2000,Georgia,"Gore, Al",democrat,1116230
2004,Georgia,"Kerry, John",democrat,1366149
1984,Georgia,"Mondale, Walter",democrat,706628
2008,Georgia,"Obama, Barack H.",democrat,1844123
2012,Georgia,"Obama, Barack H.",democrat,1773827
1988,Georgia,"Bush, George H.W.",republican,1081331
1992,Georgia,"Bush, George H.W.",republican,995252
2000,Georgia,"Bush, George W.",republican,1419720
2004,Georgia,"Bush, George W.",republican,1914254
1996,Georgia,"Dole, Robert",republican,1080843
1976,Georgia,"Ford, Gerald",republican,483743
2008,Georgia,"McCain, John",republican,2048759
1980,Georgia,"Reagan, Ronald",republican,654168
1984,Georgia,"Reagan, Ronald",republican,1068722
2012,Georgia,"Romney, Mitt",republican,2078688
2016,Georgia,"Trump, Donald J.",republican,2089104
1976,Hawaii,"Carter, Jimmy",democrat,147375
1980,Hawaii,"Carter, Jimmy",democrat,135879
1992,Hawaii,"Clinton, Bill",democrat,179310
1996,Hawaii,"Clinton, Bill",democrat,205012
2016,Hawaii,"Clinton, Hillary",democrat,266891
1988,Hawaii,"Dukakis, Michael",democrat,192364
2000,Hawaii,"Gore, Al",democrat,205286
2004,Hawaii,"Kerry, John",democrat,231708
1984,Hawaii,"Mondale, Walter",democrat,147154
2008,Hawaii,"Obama, Barack H.",democrat,325871
2012,Hawaii,"Obama, Barack H.",democrat,306658
1988,Hawaii,"Bush, George H.W.",republican,158625
1992,Hawaii,"Bush, George H.W.",republican,136822
2000,Hawaii,"Bush, George W.",republican,137845
2004,Hawaii,"Bush, George W.",republican,194191
1996,Hawaii,"Dole, Robert",republican,113943
1976,Hawaii,"Ford, Gerald",republican,140003
2008,Hawaii,"McCain, John",republican,120566
1980,Hawaii,"Reagan, Ronald",republican,130112
1984,Hawaii,"Reagan, Ronald",republican,185050
2012,Hawaii,"Romney, Mitt",republican,121015
2016,Hawaii,"Trump, Donald J.",republican,128847
1976,Idaho,"Carter, Jimmy",democrat,126549
1980,Idaho,"Carter, Jimmy",democrat,110192
1992,Idaho,"Clinton, Bill",democrat,137013
1996,Idaho,"Clinton, Bill",democrat,165443
2016,Idaho,"Clinton, Hillary",democrat,189765
1988,Idaho,"Dukakis, Michael",democrat,147272
2000,Idaho,"Gore, Al",democrat,138637
2004,Idaho,"Kerry, John",democrat,181098
1984,Idaho,"Mondale, Walter",democrat,108510
2008,Idaho,"Obama, Barack H.",democrat,236440
2012,Idaho,"Obama, Barack H.",democrat,212787
1988,Idaho,"Bush, George H.W.",republican,253881
1992,Idaho,"Bush, George H.W.",republican,202645
2000,Idaho,"Bush, George W.",republican,336937
2004,Idaho,"Bush, George W.",republican,409235
1996,Idaho,"Dole, Robert",republican,256595
1976,Idaho,"Ford, Gerald",republican,204151
2008,Idaho,"McCain, John",republican,403012
1980,Idaho,"Reagan, Ronald",republican,290699
1984,Idaho,"Reagan, Ronald",republican,297523
2012,Idaho,"Romney, Mitt",republican,420911
2016,Idaho,"Trump, Donald J.",republican,409055
1976,Illinois,"Carter, Jimmy",democrat,2271295
1980,Illinois,"Carter, Jimmy",democrat,1981413
1992,Illinois,"Clinton, Bill",democrat,2453350
1996,Illinois,"Clinton, Bill",democrat,2341744
2016,Illinois,"Clinton, Hillary",democrat,3090729
1988,Illinois,"Dukakis, Michael",democrat,2215940
2000,Illinois,"Gore, Al",democrat,2589026
2004,Illinois,"Kerry, John",democrat,2891550
1984,Illinois,"Mondale, Walter",democrat,2086499
2008,Illinois,"Obama, Barack H.",democrat,3419348
2012,Illinois,"Obama, Barack H.",democrat,3019512
1988,Illinois,"Bush, George H.W.",republican,2310939
1992,Illinois,"Bush, George H.W.",republican,1734096
2000,Illinois,"Bush, George W.",republican,2019421
2004,Illinois,"Bush, George W.",republican,2345946
1996,Illinois,"Dole, Robert",republican,1587021
1976,Illinois,"Ford, Gerald",republican,2364269
2008,Illinois,"McCain, John",republican,2031179
1980,Illinois,"Reagan, Ronald",republican,2358049
1984,Illinois,"Reagan, Ronald",republican,2707103
2012,Illinois,"Romney, Mitt",republican,2135216
2016,Illinois,"Trump, Donald J.",republican,2146015
1976,Indiana,"Carter, Jimmy",democrat,1014714
1980,Indiana,"Carter, Jimmy",democrat,844197
1992,Indiana,"Clinton, Bill",democrat,848420
1996,Indiana,"Clinton, Bill",democrat,887424
2016,Indiana,"Clinton, Hillary",democrat,1033126
1988,Indiana,"Dukakis, Michael",democrat,860643
2000,Indiana,"Gore, Al",democrat,901980
2004,Indiana,"Kerry, John",democrat,969011
1984,Indiana,"Mondale, Walter",democrat,841481
2008,Indiana,"Obama, Barack H.",democrat,1374039
2012,Indiana,"Obama, Barack H.",democrat,1152887
1988,Indiana,"Bush, George H.W.",republican,1297763
1992,Indiana,"Bush, George H.W.",republican,989375
2000,Indiana,"Bush, George W.",republican,1245836
2004,Indiana,"Bush, George W.",republican,1479438
1996,Indiana,"Dole, Robert",republican,1006693
1976,Indiana,"Ford, Gerald",republican,1183958
2008,Indiana,"McCain, John",republican,1345648
1980,Indiana,"Reagan, Ronald",republican,1255656
1984,Indiana,"Reagan, Ronald",republican,1377230
2012,Indiana,"Romney, Mitt",republican,1420543
2016,Indiana,"Trump, Donald J.",republican,1557286
1976,Iowa,"Carter, Jimmy",democrat,619931
1980,Iowa,"Carter, Jimmy",democrat,508672
1992,Iowa,"Clinton, Bill",democrat,586353
1996,Iowa,"Clinton, Bill",democrat,620258
2016,Iowa,"Clinton, Hillary",democrat,653669
1988,Iowa,"Dukakis, Michael",democrat,670557
2000,Iowa,"Gore, Al",democrat,638517
2004,Iowa,"Kerry, John",democrat,741898
1984,Iowa,"Mondale, Walter",democrat,605620
2008,Iowa,"Obama, Barack H.",democrat,828940
2012,Iowa,"Obama, Barack H.",democrat,822544
1988,Iowa,"Bush, George H.W.",republican,545355
1992,Iowa,"Bush, George H.W.",republican,504891
2000,Iowa,"Bush, George W.",republican,634373
2004,Iowa,"Bush, George W.",republican,751957
1996,Iowa,"Dole, Robert",republican,492644
1976,Iowa,"Ford, Gerald",republican,632864
2008,Iowa,"McCain, John",republican,682379
1980,Iowa,"Reagan, Ronald",republican,676026
1984,Iowa,"Reagan, Ronald",republican,703088
2012,Iowa,"Romney, Mitt",republican,730617
2016,Iowa,"Trump, Donald J.",republican,800983
1976,Kansas,"Carter, Jimmy",democrat,430421
1980,Kansas,"Carter, Jimmy",democrat,326150
1992,Kansas,"Clinton, Bill",democrat,390434
1996,Kansas,"Clinton, Bill",democrat,387659
2016,Kansas,"Clinton, Hillary",democrat,427005
1988,Kansas,"Dukakis, Michael",democrat,422636
2000,Kansas,"Gore, Al",democrat,399276
2004,Kansas,"Kerry, John",democrat,434993
1984,Kansas,"Mondale, Walter",democrat,333149
2008,Kansas,"Obama, Barack H.",democrat,514765
2012,Kansas,"Obama, Barack H.",democrat,440726
1988,Kansas,"Bush, George H.W.",republican,554049
1992,Kansas,"Bush, George H.W.",republican,449951
2000,Kansas,"Bush, George W.",republican,622332
2004,Kansas,"Bush, George W.",republican,736456
1996,Kansas,"Dole, Robert",republican,583245
1976,Kansas,"Ford, Gerald",republican,502752
2008,Kansas,"McCain, John",republican,699655
1980,Kansas,"Reagan, Ronald",republican,566812
1984,Kansas,"Reagan, Ronald",republican,677296
2012,Kansas,"Romney, Mitt",republican,692634
2016,Kansas,"Trump, Donald J.",republican,671018
1976,Kentucky,"Carter, Jimmy",democrat,615717
1980,Kentucky,"Carter, Jimmy",democrat,617417
1992,Kentucky,"Clinton, Bill",democrat,665104
1996,Kentucky,"Clinton, Bill",democrat,636614
2016,Kentucky,"Clinton, Hillary",democrat,628854
1988,Kentucky,"Dukakis, Michael",democrat,580368
2000,Kentucky,"Gore, Al",democrat,638923
2004,Kentucky,"Kerry, John",democrat,712733
1984,Kentucky,"Mondale, Walter",democrat,539539
2008,Kentucky,"Obama, Barack H.",democrat,751985
2012,Kentucky,"Obama, Barack H.",democrat,679370
1988,Kentucky,"Bush, George H.W.",republican,734281
1992,Kentucky,"Bush, George H.W.",republican,617178
2000,Kentucky,"Bush, George W.",republican,872520
2004,Kentucky,"Bush, George W.",republican,1069439
1996,Kentucky,"Dole, Robert",republican,623283
1976,Kentucky,"Ford, Gerald",republican,531852
2008,Kentucky,"McCain, John",republican,1048462
1980,Kentucky,"Reagan, Ronald",republican,635274
1984,Kentucky,"Reagan, Ronald",republican,821702
2012,Kentucky,"Romney, Mitt",republican,1087190
2016,Kentucky,"Trump, Donald J.",republican,1202971
