Year,State,Cantidate,Party,Votes
2012,North Dakota,"Obama, Barack H.",democrat,124966
1988,North Dakota,"Bush, George H.W.",republican,166559
1992,North Dakota,"Bush, George H.W.",republican,136244
2000,North Dakota,"Bush, George W.",republican,174852
2004,North Dakota,"Bush, George W.",republican,196651
1996,North Dakota,"Dole, Robert",republican,125050
1976,North Dakota,"Ford, Gerald",republican,153684
2008,North Dakota,"McCain, John",republican,168601
1980,North Dakota,"Reagan, Ronald",republican,193695
1984,North Dakota,"Reagan, Ronald",republican,200336
2012,North Dakota,"Romney, Mitt",republican,188320
2016,North Dakota,"Trump, Donald J.",republican,216794
1976,Ohio,"Carter, Jimmy",democrat,2009959
1980,Ohio,"Carter, Jimmy",democrat,1752414
1992,Ohio,"Clinton, Bill",democrat,1984942
1996,Ohio,"Clinton, Bill",democrat,2148222
2016,Ohio,"Clinton, Hillary",democrat,2394164
1988,Ohio,"Dukakis, Michael",democrat,1939629
2000,Ohio,"Gore, Al",democrat,2183628
2004,Ohio,"Kerry, John",democrat,2741165
1984,Ohio,"Mondale, Walter",democrat,1825440
2008,Ohio,"Obama, Barack H.",democrat,2940044
2012,Ohio,"Obama, Barack H.",democrat,2827621
1988,Ohio,"Bush, George H.W.",republican,2416549
1992,Ohio,"Bush, George H.W.",republican,1894310
2000,Ohio,"Bush, George W.",republican,2350363
2004,Ohio,"Bush, George W.",republican,2859764
1996,Ohio,"Dole, Robert",republican,1859883
1976,Ohio,"Ford, Gerald",republican,2000626
2008,Ohio,"McCain, John",republican,2677820
1980,Ohio,"Reagan, Ronald",republican,2206545
1984,Ohio,"Reagan, Ronald",republican,2678559
2012,Ohio,"Romney, Mitt",republican,2661407
2016,Ohio,"Trump, Donald J.",republican,2841005
1976,Oklahoma,"Carter, Jimmy",democrat,532442
1980,Oklahoma,"Carter, Jimmy",democrat,402026
1992,Oklahoma,"Clinton, Bill",democrat,473066
1996,Oklahoma,"Clinton, Bill",democrat,488105
2016,Oklahoma,"Clinton, Hillary",democrat,420375
1988,Oklahoma,"Dukakis, Michael",democrat,483423
2000,Oklahoma,"Gore, Al",democrat,474276
2004,Oklahoma,"Kerry, John",democrat,503966
1984,Oklahoma,"Mondale, Walter",democrat,385080
2008,Oklahoma,"Obama, Barack H.",democrat,502496
2012,Oklahoma,"Obama, Barack H.",democrat,443547
1988,Oklahoma,"Bush, George H.W.",republican,678367
1992,Oklahoma,"Bush, George H.W.",republican,592929
2000,Oklahoma,"Bush, George W.",republican,744337
2004,Oklahoma,"Bush, George W.",republican,959792
1996,Oklahoma,"Dole, Robert",republican,582315
1976,Oklahoma,"Ford, Gerald",republican,545708
2008,Oklahoma,"McCain, John",republican,960165
1980,Oklahoma,"Reagan, Ronald",republican,695570
1984,Oklahoma,"Reagan, Ronald",republican,861530
2012,Oklahoma,"Romney, Mitt",republican,891325
2016,Oklahoma,"Trump, Donald J.",republican,949136
1976,Oregon,"Carter, Jimmy",democrat,490407
1980,Oregon,"Carter, Jimmy",democrat,456890
1992,Oregon,"Clinton, Bill",democrat,621314
1996,Oregon,"Clinton, Bill",democrat,649641
2016,Oregon,"Clinton, Hillary",democrat,1002106
1988,Oregon,"Dukakis, Michael",democrat,616206
2000,Oregon,"Gore, Al",democrat,720342
2004,Oregon,"Kerry, John",democrat,943163
1984,Oregon,"Mondale, Walter",democrat,536479
2008,Oregon,"Obama, Barack H.",democrat,1037291
2012,Oregon,"Obama, Barack H.",democrat,970488
1988,Oregon,"Bush, George H.W.",republican,560126
1992,Oregon,"Bush, George H.W.",republican,475757
2000,Oregon,"Bush, George W.",republican,713577
2004,Oregon,"Bush, George W.",republican,866831
1996,Oregon,"Dole, Robert",republican,538152
1976,Oregon,"Ford, Gerald",republican,492120
2008,Oregon,"McCain, John",republican,738475
1980,Oregon,"Reagan, Ronald",republican,571044
1984,Oregon,"Reagan, Ronald",republican,685700
2012,Oregon,"Romney, Mitt",republican,754175
2016,Oregon,"Trump, Donald J.",republican,782403
1976,Pennsylvania,"Carter, Jimmy",democrat,2328677
1980,Pennsylvania,"Carter, Jimmy",democrat,1937540
1992,Pennsylvania,"Clinton, Bill",democrat,2239164
1996,Pennsylvania,"Clinton, Bill",democrat,2215819
2016,Pennsylvania,"Clinton, Hillary",democrat,2926441
1988,Pennsylvania,"Dukakis, Michael",democrat,2194944
2000,Pennsylvania,"Gore, Al",democrat,2485967
2004,Pennsylvania,"Kerry, John",democrat,2938095
1984,Pennsylvania,"Mondale, Walter",democrat,2228131
2008,Pennsylvania,"Obama, Barack H.",democrat,3276363
2012,Pennsylvania,"Obama, Barack H.",democrat,2990274
1988,Pennsylvania,"Bush, George H.W.",republican,2300087
1992,Pennsylvania,"Bush, George H.W.",republican,1791841
2000,Pennsylvania,"Bush, George W.",republican,2281127
2004,Pennsylvania,"Bush, George W.",republican,2793847
1996,Pennsylvania,"Dole, Robert",republican,1801169
1976,Pennsylvania,"Ford, Gerald",republican,2205604
2008,Pennsylvania,"McCain, John",republican,2655885
1980,Pennsylvania,"Reagan, Ronald",republican,2261872
1984,Pennsylvania,"Reagan, Ronald",republican,2584323
2012,Pennsylvania,"Romney, Mitt",republican,2680434
2016,Pennsylvania,"Trump, Donald J.",republican,2970733
1976,Rhode Island,"Carter, Jimmy",democrat,227636
1980,Rhode Island,"Carter, Jimmy",democrat,198342
1992,Rhode Island,"Clinton, Bill",democrat,213299
1996,Rhode Island,"Clinton, Bill",democrat,233050
2016,Rhode Island,"Clinton, Hillary",democrat,252525
1988,Rhode Island,"Dukakis, Michael",democrat,225123
2000,Rhode Island,"Gore, Al",democrat,249508
2004,Rhode Island,"Kerry, John",democrat,259760
1984,Rhode Island,"Mondale, Walter",democrat,197106
2008,Rhode Island,"Obama, Barack H.",democrat,296571
2012,Rhode Island,"Obama, Barack H.",democrat,279677
1988,Rhode Island,"Bush, George H.W.",republican,177761
1992,Rhode Island,"Bush, George H.W.",republican,131601
2000,Rhode Island,"Bush, George W.",republican,130555
2004,Rhode Island,"Bush, George W.",republican,169046
1996,Rhode Island,"Dole, Robert",republican,104683
1976,Rhode Island,"Ford, Gerald",republican,181249
2008,Rhode Island,"McCain, John",republican,165391
1980,Rhode Island,"Reagan, Ronald",republican,154793
1984,Rhode Island,"Reagan, Ronald",republican,212080
2012,Rhode Island,"Romney, Mitt",republican,157204
2016,Rhode Island,"Trump, Donald J.",republican,180543
1976,South Carolina,"Carter, Jimmy",democrat,450807
1980,South Carolina,"Carter, Jimmy",democrat,428220
1992,South Carolina,"Clinton, Bill",democrat,525514
1996,South Carolina,"Clinton, Bill",democrat,506152
2016,South Carolina,"Clinton, Hillary",democrat,855373
1988,South Carolina,"Dukakis, Michael",democrat,370554
2000,South Carolina,"Gore, Al",democrat,566037
2004,South Carolina,"Kerry, John",democrat,661669
1984,South Carolina,"Mondale, Walter",democrat,344459
2008,South Carolina,"Obama, Barack H.",democrat,862449
2012,South Carolina,"Obama, Barack H.",democrat,865941
1988,South Carolina,"Bush, George H.W.",republican,606443
1992,South Carolina,"Bush, George H.W.",republican,577507
2000,South Carolina,"Bush, George W.",republican,786892
2004,South Carolina,"Bush, George W.",republican,937974
1996,South Carolina,"Dole, Robert",republican,573339
1976,South Carolina,"Ford, Gerald",republican,346149
2008,South Carolina,"McCain, John",republican,1034896
1980,South Carolina,"Reagan, Ronald",republican,439277
1984,South Carolina,"Reagan, Ronald",republican,615539
2012,South Carolina,"Romney, Mitt",republican,1071645
2016,South Carolina,"Trump, Donald J.",republican,1155389
1976,South Dakota,"Carter, Jimmy",democrat,147068
1980,South Dakota,"Carter, Jimmy",democrat,103855
1992,South Dakota,"Clinton, Bill",democrat,124888
1996,South Dakota,"Clinton, Bill",democrat,139333
2016,South Dakota,"Clinton, Hillary",democrat,117458
1988,South Dakota,"Dukakis, Michael",democrat,145560
2000,South Dakota,"Gore, Al",democrat,118804
2004,South Dakota,"Kerry, John",democrat,149244
1984,South Dakota,"Mondale, Walter",democrat,116113
2008,South Dakota,"Obama, Barack H.",democrat,170924
2012,South Dakota,"Obama, Barack H.",democrat,145039
1988,South Dakota,"Bush, George H.W.",republican,165415
1992,South Dakota,"Bush, George H.W.",republican,136718
2000,South Dakota,"Bush, George W.",republican,190700
2004,South Dakota,"Bush, George W.",republican,232584
1996,South Dakota,"Dole, Robert",republican,150543
1976,South Dakota,"Ford, Gerald",republican,151505
2008,South Dakota,"McCain, John",republican,203054
1980,South Dakota,"Reagan, Ronald",republican,198343
1984,South Dakota,"Reagan, Ronald",republican,200267
2012,South Dakota,"Romney, Mitt",republican,210610
2016,South Dakota,"Trump, Donald J.",republican,227721
1976,Tennessee,"Carter, Jimmy",democrat,825879
1980,Tennessee,"Carter, Jimmy",democrat,783051
1992,Tennessee,"Clinton, Bill",democrat,933521
1996,Tennessee,"Clinton, Bill",democrat,909146
2016,Tennessee,"Clinton, Hillary",democrat,870695
1988,Tennessee,"Dukakis, Michael",democrat,679794
2000,Tennessee,"Gore, Al",democrat,981720
2004,Tennessee,"Kerry, John",democrat,1036477
1984,Tennessee,"Mondale, Walter",democrat,711714
2008,Tennessee,"Obama, Barack H.",democrat,1087437
2012,Tennessee,"Obama, Barack H.",democrat,960709
1988,Tennessee,"Bush, George H.W.",republican,947233
1992,Tennessee,"Bush, George H.W.",republican,841300
2000,Tennessee,"Bush, George W.",republican,1061949
2004,Tennessee,"Bush, George W.",republican,1384375
1996,Tennessee,"Dole, Robert",republican,863530
1976,Tennessee,"Ford, Gerald",republican,633969
2008,Tennessee,"McCain, John",republican,1479178
1980,Tennessee,"Reagan, Ronald",republican,787761
1984,Tennessee,"Reagan, Ronald",republican,990212
2012,Tennessee,"Romney, Mitt",republican,1462330
2016,Tennessee,"Trump, Donald J.",republican,1522925
1976,Texas,"Carter, Jimmy",democrat,2082319
1980,Texas,"Carter, Jimmy",democrat,1881147
1992,Texas,"Clinton, Bill",democrat,2281815
1996,Texas,"Clinton, Bill",democrat,2459683
2016,Texas,"Clinton, Hillary",democrat,3877868
1988,Texas,"Dukakis, Michael",democrat,2352748
2000,Texas,"Gore, Al",democrat,2433746
2004,Texas,"Kerry, John",democrat,2832704
1984,Texas,"Mondale, Walter",democrat,1949276
2008,Texas,"Obama, Barack H.",democrat,3528633
2012,Texas,"Obama, Barack H.",democrat,3308124
1988,Texas,"Bush, George H.W.",republican,3036829
1992,Texas,"Bush, George H.W.",republican,2496071
2000,Texas,"Bush, George W.",republican,3799639
2004,Texas,"Bush, George W.",republican,4526917
1996,Texas,"Dole, Robert",republican,2736167
1976,Texas,"Ford, Gerald",republican,1953300
2008,Texas,"McCain, John",republican,4479328
1980,Texas,"Reagan, Ronald",republican,2510705
1984,Texas,"Reagan, Ronald",republican,3433428
2012,Texas,"Romney, Mitt",republican,4569843
2016,Texas,"Trump, Donald J.",republican,4685047
1976,Utah,"Carter, Jimmy",democrat,182110
1980,Utah,"Carter, Jimmy",democrat,124266
1992,Utah,"Clinton, Bill",democrat,183429
1996,Utah,"Clinton, Bill",democrat,221633
2016,Utah,"Clinton, Hillary",democrat,310674
1988,Utah,"Dukakis, Michael",democrat,207343
2000,Utah,"Gore, Al",democrat,203053
2004,Utah,"Kerry, John",democrat,241199
1984,Utah,"Mondale, Walter",democrat,155369
2008,Utah,"Obama, Barack H.",democrat,327670
2012,Utah,"Obama, Barack H.",democrat,251813
1988,Utah,"Bush, George H.W.",republican,428442
1992,Utah,"Bush, George H.W.",republican,322632
2000,Utah,"Bush, George W.",republican,515096
2004,Utah,"Bush, George W.",republican,663742
1996,Utah,"Dole, Robert",republican,361911
1976,Utah,"Ford, Gerald",republican,337908
2008,Utah,"McCain, John",republican,596030
1980,Utah,"Reagan, Ronald",republican,439687
1984,Utah,"Reagan, Ronald",republican,469105
2012,Utah,"Romney, Mitt",republican,740600
2016,Utah,"Trump, Donald J.",republican,515211
1976,Vermont,"Carter, Jimmy",democrat,77798
1980,Vermont,"Carter, Jimmy",democrat,81952
1992,Vermont,"Clinton, Bill",democrat,133592
1996,Vermont,"Clinton, Bill",democrat,137894
2016,Vermont,"Clinton, Hillary",democrat,178573
1988,Vermont,"Dukakis, Michael",democrat,115775
2000,Vermont,"Gore, Al",democrat,149022
2004,Vermont,"Kerry, John",democrat,184067
1984,Vermont,"Mondale, Walter",democrat,95730
2008,Vermont,"Obama, Barack H.",democrat,219262
2012,Vermont,"Obama, Barack H.",democrat,199239
1988,Vermont,"Bush, George H.W.",republican,124331
1992,Vermont,"Bush, George H.W.",republican,88122
2000,Vermont,"Bush, George W.",republican,119775
2004,Vermont,"Bush, George W.",republican,121180
1996,Vermont,"Dole, Robert",republican,80352
1976,Vermont,"Ford, Gerald",republican,100387
2008,Vermont,"McCain, John",republican,98974
1980,Vermont,"Reagan, Ronald",republican,94628
1984,Vermont,"Reagan, Ronald",republican,135865
2012,Vermont,"Romney, Mitt",republican,92698
2016,Vermont,"Trump, Donald J.",republican,95369
1976,Virginia,"Carter, Jimmy",democrat,813896
1980,Virginia,"Carter, Jimmy",democrat,752174
1992,Virginia,"Clinton, Bill",democrat,1038650
1996,Virginia,"Clinton, Bill",democrat,1091060
2016,Virginia,"Clinton, Hillary",democrat,1981473
1988,Virginia,"Dukakis, Michael",democrat,859799
2000,Virginia,"Gore, Al",democrat,1217290
2004,Virginia,"Kerry, John",democrat,1454742
1984,Virginia,"Mondale, Walter",democrat,796250
2008,Virginia,"Obama, Barack H.",democrat,1959532
2012,Virginia,"Obama, Barack H.",democrat,1971820
1988,Virginia,"Bush, George H.W.",republican,1309162
1992,Virginia,"Bush, George H.W.",republican,1150517
2000,Virginia,"Bush, George W.",republican,1437490
2004,Virginia,"Bush, George W.",republican,1716959
1996,Virginia,"Dole, Robert",republican,1138350
1976,Virginia,"Ford, Gerald",republican,836554
2008,Virginia,"McCain, John",republican,1725005
1980,Virginia,"Reagan, Ronald",republican,989609
1984,Virginia,"Reagan, Ronald",republican,1337078
2012,Virginia,"Romney, Mitt",republican,1822522
2016,Virginia,"Trump, Donald J.",republican,1769443
1976,Washington,"Carter, Jimmy",democrat,717323
1980,Washington,"Carter, Jimmy",democrat,650193
1992,Washington,"Clinton, Bill",democrat,993037
1996,Washington,"Clinton, Bill",democrat,1123323
2016,Washington,"Clinton, Hillary",democrat,1742718
1988,Washington,"Dukakis, Michael",democrat,933516
2000,Washington,"Gore, Al",democrat,1247652
2004,Washington,"Kerry, John",democrat,1510201
1984,Washington,"Mondale, Walter",democrat,798352
2008,Washington,"Obama, Barack H.",democrat,1750848
2012,Washington,"Obama, Barack H.",democrat,1755396
1988,Washington,"Bush, George H.W.",republican,903835
1992,Washington,"Bush, George H.W.",republican,731234
2000,Washington,"Bush, George W.",republican,1108864
2004,Washington,"Bush, George W.",republican,1304894
1996,Washington,"Dole, Robert",republican,840712
1976,Washington,"Ford, Gerald",republican,777732
2008,Washington,"McCain, John",republican,1229216
2012,Washington,"Mitt, Romney",republican,1290670
1980,Washington,"Reagan, Ronald",republican,865244
1984,Washington,"Reagan, Ronald",republican,1051670
2016,Washington,"Trump, Donald J.",republican,1221747
1976,West Virginia,"Carter, Jimmy",democrat,435864
1980,West Virginia,"Carter, Jimmy",democrat,367462
1992,West Virginia,"Clinton, Bill",democrat,331001
1996,West Virginia,"Clinton, Bill",democrat,327812
2016,West Virginia,"Clinton, Hillary",democrat,188794
1988,West Virginia,"Dukakis, Michael",democrat,341016
2000,West Virginia,"Gore, Al",democrat,295497
2004,West Virginia,"Kerry, John",democrat,326541
1984,West Virginia,"Mondale, Walter",democrat,328125
2008,West Virginia,"Obama, Barack H.",democrat,303857
2012,West Virginia,"Obama, Barack H.",democrat,238269
1988,West Virginia,"Bush, George H.W.",republican,310065
1992,West Virginia,"Bush, George H.W.",republican,241974
2000,West Virginia,"Bush, George W.",republican,336475
2004,West Virginia,"Bush, George W.",republican,423778
1996,West Virginia,"Dole, Robert",republican,233946
1976,West Virginia,"Ford, Gerald",republican,314726
2008,West Virginia,"McCain, John",republican,397466
1980,West Virginia,"Reagan, Ronald",republican,334206
1984,West Virginia,"Reagan, Ronald",republican,405483
2012,West Virginia,"Romney, Mitt",republican,417655
2016,West Virginia,"Trump, Donald J.",republican,489371
1976,Wisconsin,"Carter, Jimmy",democrat,1040232
1980,Wisconsin,"Carter, Jimmy",democrat,981584
1992,Wisconsin,"Clinton, Bill",democrat,1041066
1996,Wisconsin,"Clinton, Bill",democrat,1071971
2016,Wisconsin,"Clinton, Hillary",democrat,1382536
1988,Wisconsin,"Dukakis, Michael",democrat,1126794
2000,Wisconsin,"Gore, Al",democrat,1242987
2004,Wisconsin,"Kerry, John",democrat,1489504
1984,Wisconsin,"Mondale, Walter",democrat,995740
2008,Wisconsin,"Obama, Barack H.",democrat,1677211
2012,Wisconsin,"Obama, Barack H.",democrat,1620985
1988,Wisconsin,"Bush, George H.W.",republican,1047499
1992,Wisconsin,"Bush, George H.W.",republican,930855
2000,Wisconsin,"Bush, George W.",republican,1237279
2004,Wisconsin,"Bush, George W.",republican,1478120
1996,Wisconsin,"Dole, Robert",republican,845029
1976,Wisconsin,"Ford, Gerald",republican,1004987
2008,Wisconsin,"McCain, John",republican,1262393
1980,Wisconsin,"Reagan, Ronald",republican,1088845
1984,Wisconsin,"Reagan, Ronald",republican,1198584
2012,Wisconsin,"Romney, Mitt",republican,1410966
2016,Wisconsin,"Trump, Donald J.",republican,1405284
1976,Wyoming,"Carter, Jimmy",democrat,62239
1980,Wyoming,"Carter, Jimmy",democrat,49427
1992,Wyoming,"Clinton, Bill",democrat,68160
1996,Wyoming,"Clinton, Bill",democrat,77934
2016,Wyoming,"Clinton, Hillary",democrat,55973
1988,Wyoming,"Dukakis, Michael",democrat,67113
2000,Wyoming,"Gore, Al",democrat,60481
2004,Wyoming,"Kerry, John",democrat,70776
1984,Wyoming,"Mondale, Walter",democrat,53370
2008,Wyoming,"Obama, Barack H.",democrat,82868
2012,Wyoming,"Obama, Barack H.",democrat,69286
1988,Wyoming,"Bush, George H.W.",republican,106867
1992,Wyoming,"Bush, George H.W.",republican,79347
2000,Wyoming,"Bush, George W.",republican,147947
2004,Wyoming,"Bush, George W.",republican,167629
1996,Wyoming,"Dole, Robert",republican,105388
1976,Wyoming,"Ford, Gerald",republican,92717
2008,Wyoming,"McCain, John",republican,164958
1980,Wyoming,"Reagan, Ronald",republican,110700
1984,Wyoming,"Reagan, Ronald",republican,133241
2012,Wyoming,"Romney, Mitt",republican,170962
2016,Wyoming,"Trump, Donald J.",republican,174419
